DataY,AnimalID,RecDate,NovelDay,CellID,CellType,Environ,PosBin,StimCond
25,57,220329,1,3,3,1,1,0
-25,57,220329,1,3,3,1,2,0
-25,57,220329,1,3,3,1,3,0
-25,57,220329,1,3,3,1,4,0
-25,57,220329,1,3,3,1,5,0
-25,57,220329,1,3,3,1,6,0
-25,57,220329,1,3,3,1,7,0
-25,57,220329,1,3,3,1,8,0
-25,57,220329,1,3,3,1,9,0
-25,57,220329,1,3,3,1,10,0
0,57,220329,1,3,3,1,11,0
0,57,220329,1,3,3,1,12,0
25,57,220329,1,3,3,1,13,0
50,57,220329,1,3,3,1,14,0
75,57,220329,1,3,3,1,15,0
0,57,220329,1,3,3,1,16,0
0,57,220329,1,3,3,1,17,0
25,57,220329,1,3,3,1,18,0
25,57,220329,1,3,3,1,19,0
-25,57,220329,1,3,3,1,20,0
0,57,220329,1,3,3,1,21,1
-25,57,220329,1,3,3,1,22,1
0,57,220329,1,3,3,1,23,1
-25,57,220329,1,3,3,1,24,1
-25,57,220329,1,3,3,1,25,1
-25,57,220329,1,3,3,1,26,1
-25,57,220329,1,3,3,1,27,1
0,57,220329,1,3,3,1,28,1
-25,57,220329,1,3,3,1,29,1
-25,57,220329,1,3,3,1,30,1
-25,57,220329,1,3,3,1,31,1
-25,57,220329,1,3,3,1,32,1
-25,57,220329,1,3,3,1,33,1
-25,57,220329,1,3,3,1,34,1
-25,57,220329,1,3,3,1,35,1
-25,57,220329,1,3,3,1,36,1
-25,57,220329,1,3,3,1,37,1
-25,57,220329,1,3,3,1,38,1
-25,57,220329,1,3,3,1,39,1
0,57,220329,1,3,3,1,40,1
0,57,220329,1,11,3,1,1,0
0,57,220329,1,11,3,1,2,0
0,57,220329,1,11,3,1,3,0
0,57,220329,1,11,3,1,4,0
0,57,220329,1,11,3,1,5,0
33.3333333333333,57,220329,1,11,3,1,6,0
50,57,220329,1,11,3,1,7,0
0,57,220329,1,11,3,1,8,0
0,57,220329,1,11,3,1,9,0
0,57,220329,1,11,3,1,10,0
0,57,220329,1,11,3,1,11,0
16.6666666666667,57,220329,1,11,3,1,12,0
0,57,220329,1,11,3,1,13,0
0,57,220329,1,11,3,1,14,0
0,57,220329,1,11,3,1,15,0
16.6666666666667,57,220329,1,11,3,1,16,0
100,57,220329,1,11,3,1,17,0
33.3333333333333,57,220329,1,11,3,1,18,0
0,57,220329,1,11,3,1,19,0
0,57,220329,1,11,3,1,20,0
0,57,220329,1,11,3,1,21,1
0,57,220329,1,11,3,1,22,1
0,57,220329,1,11,3,1,23,1
16.6666666666667,57,220329,1,11,3,1,24,1
0,57,220329,1,11,3,1,25,1
0,57,220329,1,11,3,1,26,1
0,57,220329,1,11,3,1,27,1
0,57,220329,1,11,3,1,28,1
0,57,220329,1,11,3,1,29,1
0,57,220329,1,11,3,1,30,1
0,57,220329,1,11,3,1,31,1
0,57,220329,1,11,3,1,32,1
0,57,220329,1,11,3,1,33,1
16.6666666666667,57,220329,1,11,3,1,34,1
0,57,220329,1,11,3,1,35,1
66.6666666666667,57,220329,1,11,3,1,36,1
0,57,220329,1,11,3,1,37,1
0,57,220329,1,11,3,1,38,1
0,57,220329,1,11,3,1,39,1
0,57,220329,1,11,3,1,40,1
25,57,220329,1,61,3,1,1,0
-25,57,220329,1,61,3,1,2,0
-25,57,220329,1,61,3,1,3,0
-25,57,220329,1,61,3,1,4,0
-25,57,220329,1,61,3,1,5,0
50,57,220329,1,61,3,1,6,0
25,57,220329,1,61,3,1,7,0
0,57,220329,1,61,3,1,8,0
-25,57,220329,1,61,3,1,9,0
25,57,220329,1,61,3,1,10,0
75,57,220329,1,61,3,1,11,0
0,57,220329,1,61,3,1,12,0
25,57,220329,1,61,3,1,13,0
-25,57,220329,1,61,3,1,14,0
75,57,220329,1,61,3,1,15,0
-25,57,220329,1,61,3,1,16,0
0,57,220329,1,61,3,1,17,0
0,57,220329,1,61,3,1,18,0
-25,57,220329,1,61,3,1,19,0
0,57,220329,1,61,3,1,20,0
-25,57,220329,1,61,3,1,21,1
-25,57,220329,1,61,3,1,22,1
-25,57,220329,1,61,3,1,23,1
-25,57,220329,1,61,3,1,24,1
-25,57,220329,1,61,3,1,25,1
0,57,220329,1,61,3,1,26,1
-25,57,220329,1,61,3,1,27,1
-25,57,220329,1,61,3,1,28,1
-25,57,220329,1,61,3,1,29,1
-25,57,220329,1,61,3,1,30,1
-25,57,220329,1,61,3,1,31,1
-25,57,220329,1,61,3,1,32,1
-25,57,220329,1,61,3,1,33,1
-25,57,220329,1,61,3,1,34,1
-25,57,220329,1,61,3,1,35,1
-25,57,220329,1,61,3,1,36,1
-25,57,220329,1,61,3,1,37,1
-25,57,220329,1,61,3,1,38,1
-25,57,220329,1,61,3,1,39,1
-25,57,220329,1,61,3,1,40,1
0,57,220329,1,68,3,1,1,0
0,57,220329,1,68,3,1,2,0
33.3333333333333,57,220329,1,68,3,1,3,0
0,57,220329,1,68,3,1,4,0
0,57,220329,1,68,3,1,5,0
0,57,220329,1,68,3,1,6,0
0,57,220329,1,68,3,1,7,0
0,57,220329,1,68,3,1,8,0
0,57,220329,1,68,3,1,9,0
0,57,220329,1,68,3,1,10,0
33.3333333333333,57,220329,1,68,3,1,11,0
0,57,220329,1,68,3,1,12,0
33.3333333333333,57,220329,1,68,3,1,13,0
66.6666666666667,57,220329,1,68,3,1,14,0
0,57,220329,1,68,3,1,15,0
0,57,220329,1,68,3,1,16,0
0,57,220329,1,68,3,1,17,0
66.6666666666667,57,220329,1,68,3,1,18,0
66.6666666666667,57,220329,1,68,3,1,19,0
0,57,220329,1,68,3,1,20,0
100,57,220329,1,68,3,1,21,1
0,57,220329,1,68,3,1,22,1
0,57,220329,1,68,3,1,23,1
0,57,220329,1,68,3,1,24,1
0,57,220329,1,68,3,1,25,1
0,57,220329,1,68,3,1,26,1
0,57,220329,1,68,3,1,27,1
0,57,220329,1,68,3,1,28,1
33.3333333333333,57,220329,1,68,3,1,29,1
33.3333333333333,57,220329,1,68,3,1,30,1
0,57,220329,1,68,3,1,31,1
66.6666666666667,57,220329,1,68,3,1,32,1
0,57,220329,1,68,3,1,33,1
0,57,220329,1,68,3,1,34,1
100,57,220329,1,68,3,1,35,1
66.6666666666667,57,220329,1,68,3,1,36,1
0,57,220329,1,68,3,1,37,1
100,57,220329,1,68,3,1,38,1
33.3333333333333,57,220329,1,68,3,1,39,1
0,57,220329,1,68,3,1,40,1
5,57,220329,1,124,3,1,1,0
-5,57,220329,1,124,3,1,2,0
-25,57,220329,1,124,3,1,3,0
55,57,220329,1,124,3,1,4,0
-35,57,220329,1,124,3,1,5,0
-5,57,220329,1,124,3,1,6,0
-25,57,220329,1,124,3,1,7,0
15,57,220329,1,124,3,1,8,0
-15,57,220329,1,124,3,1,9,0
15,57,220329,1,124,3,1,10,0
-25,57,220329,1,124,3,1,11,0
-15,57,220329,1,124,3,1,12,0
-5,57,220329,1,124,3,1,13,0
-15,57,220329,1,124,3,1,14,0
-15,57,220329,1,124,3,1,15,0
5,57,220329,1,124,3,1,16,0
-25,57,220329,1,124,3,1,17,0
-15,57,220329,1,124,3,1,18,0
-15,57,220329,1,124,3,1,19,0
-35,57,220329,1,124,3,1,20,0
-35,57,220329,1,124,3,1,21,1
-45,57,220329,1,124,3,1,22,1
-45,57,220329,1,124,3,1,23,1
-45,57,220329,1,124,3,1,24,1
-45,57,220329,1,124,3,1,25,1
-45,57,220329,1,124,3,1,26,1
-45,57,220329,1,124,3,1,27,1
-35,57,220329,1,124,3,1,28,1
-45,57,220329,1,124,3,1,29,1
-45,57,220329,1,124,3,1,30,1
-45,57,220329,1,124,3,1,31,1
-45,57,220329,1,124,3,1,32,1
-45,57,220329,1,124,3,1,33,1
-35,57,220329,1,124,3,1,34,1
-45,57,220329,1,124,3,1,35,1
-45,57,220329,1,124,3,1,36,1
-25,57,220329,1,124,3,1,37,1
-45,57,220329,1,124,3,1,38,1
-35,57,220329,1,124,3,1,39,1
-45,57,220329,1,124,3,1,40,1
-33.3333333333333,57,220329,1,132,3,1,1,0
33.3333333333333,57,220329,1,132,3,1,2,0
16.6666666666667,57,220329,1,132,3,1,3,0
-16.6666666666667,57,220329,1,132,3,1,4,0
-33.3333333333333,57,220329,1,132,3,1,5,0
-33.3333333333333,57,220329,1,132,3,1,6,0
-33.3333333333333,57,220329,1,132,3,1,7,0
-16.6666666666667,57,220329,1,132,3,1,8,0
16.6666666666667,57,220329,1,132,3,1,9,0
-16.6666666666667,57,220329,1,132,3,1,10,0
-16.6666666666667,57,220329,1,132,3,1,11,0
0,57,220329,1,132,3,1,12,0
-16.6666666666667,57,220329,1,132,3,1,13,0
