AnimalID,RecDate,NovelDay,DataY,Environ,CellType
11,200203,1,0.8,1,Narrow Interneuron
18,200818,1,0.8,1,Narrow Interneuron
21,201010,1,0.333333333333333,1,Narrow Interneuron
21,201014,1,0,1,Narrow Interneuron
24,201113,1,1,1,Narrow Interneuron
24,201117,1,0.5,1,Narrow Interneuron
45,211007,1,0.333333333333333,1,Narrow Interneuron
45,211012,1,0.5,1,Narrow Interneuron
46,211017,1,0.6,1,Narrow Interneuron
46,211020,1,0.5,1,Narrow Interneuron
47,211017,1,0.5,1,Narrow Interneuron
47,211020,1,0.428571428571429,1,Narrow Interneuron
11,200131,2,0.8,1,Narrow Interneuron
11,200204,2,1,1,Narrow Interneuron
18,200815,2,1,1,Narrow Interneuron
18,200819,2,0.571428571428571,1,Narrow Interneuron
21,201011,2,0.75,1,Narrow Interneuron
21,201015,2,0.75,1,Narrow Interneuron
24,201114,2,0.666666666666667,1,Narrow Interneuron
24,201118,2,0.833333333333333,1,Narrow Interneuron
45,211008,2,0.666666666666667,1,Narrow Interneuron
45,211013,2,0.571428571428571,1,Narrow Interneuron
46,211018,2,0.333333333333333,1,Narrow Interneuron
46,211021,2,0.714285714285714,1,Narrow Interneuron
47,211018,2,0.4,1,Narrow Interneuron
47,211021,2,0.25,1,Narrow Interneuron
11,200201,3,0.416666666666667,1,Narrow Interneuron
11,200205,3,0.8,1,Narrow Interneuron
18,200816,3,0.5,1,Narrow Interneuron
18,200820,3,0.75,1,Narrow Interneuron
21,201012,3,0.5,1,Narrow Interneuron
21,201016,3,1,1,Narrow Interneuron
24,201115,3,0.571428571428571,1,Narrow Interneuron
24,201119,3,1,1,Narrow Interneuron
45,211010,3,0,1,Narrow Interneuron
45,211014,3,0.625,1,Narrow Interneuron
46,211019,3,0,1,Narrow Interneuron
46,211022,3,0.375,1,Narrow Interneuron
47,211019,3,0.6,1,Narrow Interneuron
47,211022,3,0,1,Narrow Interneuron
11,200203,1,0,2,Narrow Interneuron
18,200818,1,0,2,Narrow Interneuron
21,201010,1,0,2,Narrow Interneuron
21,201014,1,0,2,Narrow Interneuron
24,201113,1,0,2,Narrow Interneuron
24,201117,1,0,2,Narrow Interneuron
45,211007,1,0,2,Narrow Interneuron
45,211012,1,0,2,Narrow Interneuron
46,211017,1,0.2,2,Narrow Interneuron
46,211020,1,0,2,Narrow Interneuron
47,211017,1,0.25,2,Narrow Interneuron
47,211020,1,0.571428571428571,2,Narrow Interneuron
11,200131,2,0.6,2,Narrow Interneuron
11,200204,2,0.5,2,Narrow Interneuron
18,200815,2,0,2,Narrow Interneuron
18,200819,2,0,2,Narrow Interneuron
21,201011,2,0,2,Narrow Interneuron
21,201015,2,0.75,2,Narrow Interneuron
